epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.906417309572442,6.896464609804154,0.456,1.873999999871254,2.8759271247461904e-05
1,6.884173737663591,6.823663593597412,0.654000000026226,2.8380000002408026,5.701854249492381e-05
2,6.825054231157713,6.692545858297348,0.8140000002002716,3.686000000145435,8.527781374238572e-05
3,6.7459490438017164,6.512893750448227,1.2640000002002716,5.031999998168946,0.00011353708498984762
4,6.6556948777971465,6.308913203496933,1.5960000002622605,6.463999996600151,0.00014179635623730953
5,6.564013074459642,6.085830859270096,2.2179999992990496,8.48799999824524,0.00017005562748477146
6,6.468492274744468,5.865646679706574,3.6359999993658065,12.709999996733666,0.00019831489873223335
7,6.37401324795764,5.64953273387909,5.271999999320507,17.30199999311447,0.00022657416997969525
8,6.286498184124248,5.453872150154114,6.510000000379086,20.337999999752046,0.0002548334412271572
9,6.212033665256257,5.27676941438675,8.229999997291564,24.57399999135971,0.00028309271247461905
10,6.141267220084177,5.134327753410339,9.311999999761582,27.34199999710083,0.000311351983722081
11,6.09484330280736,4.999642089996338,10.669999999442101,30.33199999458313,0.0003396112549695429
12,6.040806598640515,4.877998398065567,11.677999995975494,32.837999989967344,0.00036787052621700477
13,5.999594185055728,4.7977982229614256,12.949999993581772,34.759999990959166,0.0003961297974644667
14,5.954757356947879,4.700523837862015,14.255999998006821,36.76999998519897,0.0004243890687119286
15,5.9148553781912465,4.580674794788361,15.901999997348785,39.365999995193484,0.0004526483399593905
16,5.883469555936932,4.540181602020263,15.923999997959138,39.737999991989135,0.0004809076112068524
17,5.860301489845227,4.47526331073761,17.295999997205733,42.26199998939514,0.0005091668824543143
18,5.84574532860584,4.4610158795452115,17.68999999551773,42.19399999343872,0.0005374261537017762
19,5.818347206906648,4.356728623847961,19.151999992218016,44.359999994964596,0.0005641373525021386
20,5.796125721988496,4.309955087814331,20.205999997901916,45.80399999088287,0.0005639788349705622
21,5.742024161503836,4.246236816167832,21.33399999288559,47.015999995117184,0.0005638126168040489
22,5.724359521074919,4.161273692440987,22.447999996032713,48.65599999359131,0.0005636387025595538
23,5.685862360103279,4.100000116305352,23.769999996910094,50.16399998825073,0.0005634570970050239
24,5.661468573069078,4.047983975090981,24.49599999008179,51.199999996337894,0.0005632678051192667
25,5.635488020175952,3.978234345765114,25.618000001678467,52.871999998168945,0.0005630708320918154
26,5.614992103127962,3.986535723490715,25.3239999984169,51.74400000289917,0.0005628661833227848
27,5.582613562853142,3.8912045711898804,27.064000001678465,54.431999979782105,0.0005626538644227244
28,5.5712248911127515,3.8567933978700637,28.11799999584198,55.22399998191833,0.0005624338812124639
29,5.543322129587998,3.7934630949163437,29.201999996871947,56.06199999343872,0.0005622062397229544
30,5.5339780513559615,3.7511067961120603,30.23799999546051,57.77399998840332,0.000561970946195102
31,5.505124049133471,3.720477001757622,30.711999983825685,57.59199999069214,0.000561728007079598
32,5.495922353754393,3.6887908348321914,31.95399998325348,59.19799998855591,0.0005614774290367407
33,5.467586175581675,3.6432498924922943,32.06599999359131,59.243999995193484,0.0005612192189362538
34,5.448173073965587,3.5944039254379274,33.14599998783112,60.34199998954773,0.0005609533838570978
